id,topic,score
122,0,0.36293160915374756
123,6,0.39202257990837097
124,15,0.3638078272342682
125,15,0.4668670892715454
126,9,0.3386531472206116
127,0,0.7239024043083191
128,15,0.5698413848876953
129,15,0.3843494653701782
130,15,0.6864210367202759
131,15,0.44191160798072815
132,15,0.6369906663894653
133,15,0.5708593726158142
134,15,0.5623617172241211
135,15,0.3888361155986786
136,15,0.7695106267929077
137,15,0.5352381467819214
138,15,0.5816255211830139
139,15,0.34160736203193665
140,15,0.5454394221305847
141,1,0.5201650261878967
142,15,0.5709975361824036
143,15,0.452903151512146
144,15,0.42022696137428284
145,15,0.5526286363601685
146,15,0.6596862077713013
147,7,0.8023741841316223
148,13,0.729689359664917
149,0,0.5575172901153564
150,15,0.456896036863327
151,15,0.5213996767997742
152,15,0.46293574571609497
153,15,0.44335421919822693
154,5,0.37197789549827576
155,0,0.43465253710746765
156,6,0.5935735106468201
157,1,0.44560834765434265
158,0,0.3889869451522827
159,0,0.2377486526966095
160,0,0.4599890410900116
161,14,0.3618462085723877
162,0,0.4063781499862671
163,0,0.7815742492675781
164,12,0.2943607270717621
165,15,0.775346040725708
166,15,0.6845685243606567
167,0,0.4592316150665283
168,14,0.3621876835823059
169,0,0.4061279892921448
170,0,0.7815532684326172
171,0,0.6009337306022644
172,0,0.533688485622406
173,15,0.6399314999580383
174,15,0.40272092819213867
175,6,0.4106798768043518
176,15,0.3045085072517395
177,2,0.4299042522907257
178,15,0.747772216796875
179,0,0.4346625804901123
180,15,0.41790610551834106
181,6,0.37787333130836487
182,0,0.38606616854667664
183,15,0.3880203068256378
184,15,0.6531322002410889
185,1,0.5183226466178894
186,15,0.572158932685852
187,15,0.5844451189041138
188,15,0.512051522731781
189,1,0.41131824254989624
190,15,0.6188225150108337
191,0,0.37496650218963623
192,10,0.532692551612854
193,15,0.34452396631240845
281,15,0.7294515371322632
194,15,0.6672818064689636
195,1,0.3976465165615082
196,1,0.6380120515823364
197,1,0.648257315158844
198,1,0.3972107172012329
199,14,0.37702295184135437
200,15,0.38194265961647034
201,15,0.5584052205085754
202,7,0.4050668179988861
203,15,0.48812606930732727
204,15,0.6168992519378662
205,15,0.45012545585632324
206,1,0.4775789976119995
207,1,0.6268618702888489
208,15,0.7197368144989014
209,15,0.7843545079231262
210,15,0.5876203775405884
211,15,0.40574386715888977
212,0,0.319553017616272
213,15,0.4661589562892914
214,15,0.37250036001205444
215,15,0.4254489839076996
216,15,0.4489396810531616
217,15,0.39327436685562134
218,1,0.5854691863059998
219,15,0.5346037745475769
220,15,0.7860115170478821
221,15,0.7116898894309998
222,1,0.4147454798221588
223,15,0.6206390857696533
224,15,0.2658917307853699
225,15,0.47783395648002625
226,15,0.5308144092559814
227,15,0.49901917576789856
228,0,0.657379686832428
229,1,0.47698408365249634
230,13,0.6675146818161011
231,15,0.5380856394767761
232,15,0.3468942642211914
233,15,0.7727609872817993
234,7,0.6256318092346191
235,1,0.6603161692619324
236,0,0.38106009364128113
237,15,0.34469926357269287
375,15,0.4102463722229004
238,15,0.5375356674194336
239,1,0.2813708782196045
240,15,0.4050252139568329
241,15,0.5565688014030457
242,15,0.3762146234512329
243,6,0.7049107551574707
244,15,0.5146137475967407
245,8,0.3994995653629303
246,15,0.6128473281860352
247,15,0.39911648631095886
248,0,0.3874657452106476
249,15,0.788163959980011
250,9,0.2409788817167282
251,15,0.6217052936553955
252,15,0.41016215085983276
253,15,0.5488660931587219
254,1,0.45403164625167847
255,15,0.35238510370254517
256,15,0.5102733373641968
257,15,0.7035316824913025
258,15,0.5760813355445862
259,15,0.6122955083847046
376,1,0.44139015674591064
260,15,0.5710007548332214
261,15,0.42480766773223877
262,15,0.5875982642173767
263,15,0.608312726020813
264,15,0.6388735175132751
265,8,0.33627089858055115
266,1,0.477325439453125
267,15,0.5884135365486145
268,15,0.5347281694412231
269,0,0.2761021852493286
270,15,0.6204178333282471
271,15,0.3040872812271118
272,15,0.7365063428878784
273,15,0.8088856935501099
274,9,0.40497255325317383
275,6,0.42478615045547485
276,15,0.384950190782547
277,9,0.4074893295764923
278,6,0.41777119040489197
279,0,0.39903774857521057
280,15,0.39848989248275757
282,14,0.36216801404953003
